time,x1,y1,x2,y2,x3,y3
0.000,918.847,306.667,799.840,50.112,815.736,153.427
0.040,919.964,306.645,800.359,49.562,815.515,154.050
0.080,920.130,307.692,800.991,48.518,815.500,155.727
0.120,919.941,307.879,801.410,48.491,815.339,157.608
0.160,920.623,308.362,801.840,47.933,815.197,158.460
0.200,921.132,308.566,802.301,47.449,814.874,159.879
0.240,922.346,309.160,802.644,47.229,814.265,162.306
0.280,923.468,309.887,803.125,47.050,814.270,163.065
0.320,924.385,310.779,803.706,46.305,813.876,165.913
0.360,924.896,311.367,803.915,46.500,813.512,167.975
0.400,925.188,311.688,804.419,45.985,813.516,168.820
0.440,925.119,311.765,804.515,46.182,813.484,169.756
0.480,925.280,311.889,804.783,46.287,813.476,171.294
0.520,925.578,312.092,807.794,45.548,813.219,173.207
0.560,926.006,312.442,811.748,46.153,813.148,174.530
0.600,926.006,312.442,813.618,47.268,813.171,175.571
0.640,926.143,312.749,815.956,47.926,812.891,176.634
0.680,928.918,317.047,817.889,48.742,812.552,178.483
0.720,929.328,318.070,820.292,49.748,812.562,179.042
0.760,929.870,319.137,823.550,51.050,812.538,180.462
0.800,930.216,319.541,824.771,51.325,812.493,180.934
0.840,930.462,320.071,826.725,52.045,812.158,182.184
0.880,930.819,320.723,828.039,52.386,811.917,183.089
0.920,931.040,321.136,829.197,52.978,811.829,184.856
0.960,931.622,321.768,831.028,53.638,811.621,185.931
1.000,932.607,322.893,833.391,54.550,811.267,187.951
1.040,932.731,323.065,834.616,55.022,811.061,189.186
1.080,933.196,323.234,835.078,55.312,810.897,190.205
1.120,933.846,323.853,835.811,55.487,810.630,191.756
1.160,934.068,324.061,836.188,55.670,810.590,193.213
1.200,934.424,324.057,838.214,56.326,809.976,195.958
1.240,935.286,324.554,838.739,56.464,809.905,196.961
1.280,936.097,325.118,840.064,56.986,809.684,197.800
1.320,936.097,325.118,841.615,57.676,809.427,199.220
1.360,936.819,325.413,842.702,58.042,809.542,199.939
1.400,937.415,325.606,844.185,58.657,809.417,201.079
1.440,938.238,325.809,844.938,58.882,809.266,202.517
1.480,938.533,325.835,845.810,59.213,809.187,203.847
1.520,938.876,325.930,845.980,59.257,809.099,204.506
1.560,939.035,326.046,846.381,59.288,809.008,205.140
1.600,939.685,326.221,850.028,60.803,808.879,206.296
1.640,940.155,326.485,851.388,61.376,808.751,207.821
1.680,940.356,326.535,852.010,61.612,808.642,208.930
1.720,940.574,326.645,852.814,61.893,808.604,209.704
1.760,945.254,326.821,853.598,62.265,808.607,210.127
1.800,946.791,325.899,853.987,62.387,808.544,211.357
1.840,949.532,325.301,854.376,62.441,808.620,212.037
1.880,951.778,325.089,856.053,63.018,808.474,213.117
1.920,951.978,325.056,856.486,63.028,808.384,214.072
1.960,951.978,325.056,856.688,63.123,808.289,214.999
2.000,952.198,324.979,857.401,63.502,807.273,219.323
2.040,952.358,324.887,857.017,63.335,807.197,220.306
2.080,952.640,324.162,856.832,63.265,807.120,221.265
2.120,954.251,322.559,856.469,63.115,807.257,221.913
2.160,954.355,322.307,856.656,63.148,807.701,220.820
2.200,954.478,322.132,856.392,63.064,807.726,220.934
2.240,954.478,322.132,856.319,63.143,807.760,221.578
2.280,954.739,321.628,856.632,63.175,807.137,224.966
2.320,954.744,321.353,855.812,63.019,807.215,225.594
2.360,954.879,321.193,855.514,62.975,807.243,226.552
2.400,954.879,321.193,855.019,62.837,807.367,227.151
2.440,954.979,320.947,854.974,62.817,807.451,228.003
2.480,955.709,320.227,854.496,62.693,807.355,229.048
2.520,955.858,320.112,853.739,62.237,807.112,230.508
2.560,956.618,319.524,855.694,61.788,807.016,230.877
2.600,956.789,319.356,856.015,61.687,806.869,232.029
2.640,957.327,318.991,857.426,61.599,807.247,232.403
2.680,958.056,318.367,858.136,61.549,807.301,232.638
2.720,958.477,318.037,858.756,61.567,807.399,233.090
2.760,959.590,317.143,859.625,61.573,807.481,233.169
2.800,960.857,316.321,861.691,61.606,807.587,233.029
2.840,961.765,315.941,862.161,61.430,807.664,233.769
2.880,962.381,315.548,862.229,61.363,808.349,234.217
2.920,963.107,314.959,862.275,61.330,808.946,234.880
2.960,963.367,314.874,863.432,61.195,809.407,236.770
3.000,965.379,313.713,865.413,61.108,809.726,237.414
3.040,965.757,313.745,866.156,60.702,809.882,237.897
3.080,966.492,313.377,866.715,60.506,809.862,237.904
3.120,966.532,313.298,867.593,60.256,810.219,238.899
3.160,967.156,313.142,868.228,59.735,810.365,239.286
3.200,967.467,313.013,867.379,59.775,810.545,239.748
3.240,970.796,313.968,867.511,59.807,810.747,240.122
3.280,973.851,314.683,867.615,59.680,811.325,241.355
3.320,977.918,314.363,868.949,59.010,811.108,240.781
3.360,981.000,314.075,869.042,58.905,812.087,242.651
3.400,982.254,313.917,869.054,58.750,812.659,243.737
3.440,984.734,313.700,869.380,58.627,813.011,244.352
3.480,989.294,313.140,869.989,58.320,813.439,245.177
3.520,989.988,313.066,870.063,58.134,814.269,246.696
3.560,990.948,312.989,870.063,58.134,814.574,247.367
3.600,991.609,313.322,870.121,58.012,815.494,248.628
3.640,992.831,313.937,870.035,58.087,815.748,249.059
3.680,992.944,315.850,869.984,57.929,816.031,249.469
3.720,993.578,317.836,869.750,57.898,817.166,251.483
3.760,994.188,318.821,870.463,57.572,818.026,253.104
3.800,994.575,319.456,870.818,57.176,819.355,255.474
3.840,994.643,319.841,870.996,57.014,820.431,257.419
3.880,994.712,320.397,871.360,56.746,820.673,257.743
3.920,994.707,320.622,871.371,56.511,822.151,260.547
3.960,994.388,320.516,871.749,56.165,822.469,260.884
4.000,994.200,320.649,875.894,54.253,823.146,262.057
4.040,994.274,320.804,877.596,53.106,823.501,262.593
4.080,993.477,320.449,877.602,52.920,823.949,263.368
4.120,992.012,321.354,872.850,54.515,824.388,263.933
4.160,989.763,324.212,872.850,54.515,825.261,265.608
4.200,988.016,324.228,872.850,54.515,826.484,268.147
4.240,986.863,327.765,872.919,54.490,828.641,271.998
4.280,985.683,329.683,872.944,54.489,829.359,272.906
4.320,985.181,332.120,872.951,54.466,829.799,273.703
4.360,984.764,334.317,872.969,54.485,829.984,274.028
4.400,984.586,335.361,873.108,54.431,830.637,274.938
4.440,984.121,335.992,873.108,54.431,830.967,275.305
4.480,983.860,336.358,873.173,54.514,831.384,275.437
4.520,983.768,337.120,875.287,53.979,836.487,277.550
4.560,983.568,339.146,875.501,53.926,839.873,274.060
4.600,983.045,341.573,876.378,53.683,843.506,271.648
4.640,982.709,342.195,879.454,52.631,845.345,270.350
